month	aot_440_monthly	pm10	angstrom440_870	angstrom440_675
1	0.08959530761148	21.3364508	0.34162143147213	0.15535115009098
2	0.10121663050777	22.2280874	0.27229601488447	-0.54769742699612
3	0.08737047721512	21.3065349	0.44333124599884	-1.30469300336860
4	0.11929016235714	24.9996122	0.37513883173163	-2.95302411902245
5	0.19958778452022	33.9381124	0.34741490243596	-2.60863142124719
6	0.29833263277419	41.3772473	0.20852528331828	-1.42033143587097
7	0.28710978824894	37.8874043	0.19232083786809	-2.82677104026915
8	0.21691116598500	32.0110750	0.31165414739250	-1.92367133571750
9	0.16039403933382	31.0626912	0.56728599530588	-1.13827802603235
10	0.09437687570000	20.8921930	0.51775580493158	0.52894043347368
11	0.07632615938452	24.4119167	0.44943732135595	0.45729186587738
12	0.08487664302963	22.8621852	0.48387061122469	0.52992116709383
