AERONET Version 3; SDA Version 4.1 
Guadeloup
Version 3: SDA Retrieval Level 1.5
The following data are cloud cleared and quality controls have been applied but these data may not have final calibration applied.  These data may change.
Contact: PI=Jack_Molinie; PI Email=Jack.Molinie@univ-ag.fr
Daily Averages,UNITS can be found at,,, https://aeronet.gsfc.nasa.gov/new_web/units.html
Date_(dd:mm:yyyy),Time_(hh:mm:ss),Day_of_Year,Total_AOD_500nm[tau_a],Fine_Mode_AOD_500nm[tau_f],Coarse_Mode_AOD_500nm[tau_c],FineModeFraction_500nm[eta],2nd_Order_Reg_Fit_Error-Total_AOD_500nm[regression_dtau_a],RMSE_Fine_Mode_AOD_500nm[Dtau_f],RMSE_Coarse_Mode_AOD_500nm[Dtau_c],RMSE_FineModeFraction_500nm[Deta],Angstrom_Exponent(AE)-Total_500nm[alpha],dAE/dln(wavelength)-Total_500nm[alphap],AE-Fine_Mode_500nm[alpha_f],dAE/dln(wavelength)-Fine_Mode_500nm[alphap_f],N[Total_AOD_500nm[tau_a]],N[Fine_Mode_AOD_500nm[tau_f]],N[Coarse_Mode_AOD_500nm[tau_c]],N[FineModeFraction_500nm[eta]],N[2nd_Order_Reg_Fit_Error-Total_AOD_500nm[regression_dtau_a]],N[RMSE_Fine_Mode_AOD_500nm[Dtau_f]],N[RMSE_Coarse_Mode_AOD_500nm[Dtau_c]],N[RMSE_FineModeFraction_500nm[Deta]],N[Angstrom_Exponent(AE)-Total_500nm[alpha]],N[dAE/dln(wavelength)-Total_500nm[alphap]],N[AE-Fine_Mode_500nm[alpha_f]],N[dAE/dln(wavelength)-Fine_Mode_500nm[alphap_f]],Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m),
01:06:2020,12:00:00,153,0.115933,0.075511,0.040422,0.650176,0.003903,0.061654,0.058784,0.510024,0.149063,1.089159,0.563344,1.714096,31,31,31,31,31,31,31,31,31,31,31,31,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
02:06:2020,12:00:00,154,0.096266,0.081938,0.014329,0.852658,0.004328,0.075688,0.072114,0.748412,0.143818,1.692275,0.232046,1.680541,14,14,14,14,14,14,14,14,14,14,14,14,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
03:06:2020,12:00:00,155,0.106753,0.049102,0.057652,0.456055,0.001111,0.029367,0.025570,0.255097,0.234080,0.560245,0.772042,1.826684,10,10,10,10,10,10,10,10,10,10,10,10,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
07:06:2020,12:00:00,159,0.109409,0.089707,0.019702,0.795425,0.003180,0.075147,0.071781,0.622383,0.186771,1.466491,0.355503,1.706882,13,13,13,13,13,13,13,13,13,13,13,13,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
08:06:2020,12:00:00,160,0.073775,0.065358,0.008418,0.882124,0.004259,0.065305,0.061615,0.811477,0.472294,2.012491,0.633913,1.751150,33,33,33,33,33,33,33,33,33,33,33,33,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
09:06:2020,12:00:00,161,0.080677,0.073804,0.006874,0.921516,0.005368,0.085801,0.082389,1.022462,0.223498,2.365558,0.310412,1.702279,20,20,20,20,20,20,20,20,20,20,20,20,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
11:06:2020,12:00:00,163,0.088398,0.073613,0.014785,0.849122,0.006117,0.105184,0.102092,1.159708,-0.052259,2.476286,-0.043857,1.557946,7,7,7,7,7,7,7,7,7,7,7,7,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
12:06:2020,12:00:00,164,0.117605,0.077264,0.040340,0.678975,0.003645,0.066111,0.063169,0.561806,0.117460,1.210000,0.465505,1.700833,25,25,25,25,25,25,25,25,25,25,25,25,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
13:06:2020,12:00:00,165,0.077410,0.059329,0.018081,0.764649,0.002978,0.063850,0.060005,0.773498,0.160789,1.599703,0.376324,1.695721,34,34,34,34,34,34,34,34,34,34,34,34,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
14:06:2020,12:00:00,166,0.090118,0.059841,0.030278,0.658420,0.003050,0.054600,0.050881,0.567989,0.148318,1.163901,0.463082,1.717054,15,15,15,15,15,15,15,15,15,15,15,15,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
